id,name,city,state,address,phone,website,grades,tuition_range,description,photo_url,verified,accreditation,enrollment,status
al-furqan-academy,Al-Furqan Academy,Jacksonville,FL,"2333 Saint Johns Bluff Road South, Jacksonville, FL 32246",(904) 645-0810,https://alfurqanacademy.org,PreK–12,"$9,300/yr",Founded in 1997 by members of the Islamic Center of Northeast Florida (ICNEF). Serves 270+ students from PreK through grade 12 with an integrated Islamic and SAVVAS-aligned academic program.,https://images.unsplash.com/photo-1503676260728-1c00da094a0b?auto=format&fit=crop&w=900&q=70,true,,,published
universal-academy-of-florida,Universal Academy of Florida,Tampa,FL,"6801 Orient Rd, Tampa, FL 33610",(813) 664-0695,https://uaftampa.org,PreK–12,"Up to $13,820/yr","One of the largest Islamic schools in Florida, serving Daycare through grade 12. Accredited by Cognia (including Cognia STEM), FCIS, CISNA, and FKC with 830+ students.",https://images.unsplash.com/photo-1580582932707-520aed937b7b?auto=format&fit=crop&w=900&q=70,true,,,published
ibn-seena-academy,Ibn Seena Academy,Orlando,FL,"12908 S Orange Blossom Trl Ste 102, Orlando, FL 32837",(407) 888-1000,https://isacademy.net,PreK–12,"~$5,250/yr","Central Florida Islamic school offering academics alongside Arabic, Quran, and Islamic studies from PreK through grade 12.",https://images.unsplash.com/photo-1497633762265-9d179a990aa6?auto=format&fit=crop&w=900&q=70,true,,,published
islamic-school-of-miami,Islamic School of Miami,Miami,FL,"11699 SW 147th Ave, Miami, FL 33196",(305) 408-0400,https://myisom.org,K–8 (with 9–12 Learning Center),"~$7,925/yr",Small K–8 Islamic school in The Hammocks area with a separate 9–12 Learning Center featuring a low 8:1 student-to-teacher ratio.,https://images.unsplash.com/photo-1509062522246-3755977927d7?auto=format&fit=crop&w=900&q=70,true,,,published
my-academy,MY Academy,Jacksonville,FL,"5940 Beach Blvd Ste A, Jacksonville, FL 32207",(904) 980-8337,https://myacademyjax.com,VPK–12,,Small private Muslim school on Beach Blvd serving ~165 students from VPK through grade 12 with a low 7:1 student-to-teacher ratio.,https://images.unsplash.com/photo-1577896851231-70ef18881754?auto=format&fit=crop&w=900&q=70,true,,,published
american-youth-academy,American Youth Academy,Tampa,FL,"5905 E 130th Ave, Tampa, FL 33617",(813) 987-9282,https://ayatampa.org,PreK–12,"From $10,500/yr","The only IB World School among Florida's Islamic schools, offering the IB Diploma Programme to grades 11–12 with accreditation by FCIS and SACS-CASI.",https://images.unsplash.com/photo-1523050854058-8df90110c9f1?auto=format&fit=crop&w=900&q=70,true,,,published
bayaan-academy,Bayaan Academy,Thonotosassa,FL,,,https://bayaanacademy.org,K–11,"$12,700–$14,700/yr","Islamic magnet school north of Tampa with special emphasis on Quran tajweed, memorization, and Arabic. Serves ~200 students K–11.",,false,,,published
muslim-academy-of-greater-orlando,Muslim Academy of Greater Orlando,Orlando,FL,"11551 Ruby Lake Rd, Orlando, FL 32836",(407) 238-0144,https://magorlando.net,PreK–8,"~$6,500/yr",Full-time PreK through 8th-grade Islamic school in Orlando with 322 students and a 7.6:1 student-to-teacher ratio.,,false,,,published
nur-ul-islam-academy,Nur Ul-Islam Academy,Cooper City,FL,"10600 SW 59th St, Cooper City, FL 33328",(954) 434-3288,https://nuiacademy.org,PreK–12,"~$25,000/yr","Broward County's largest Islamic school, serving 405 students PreK–12. Fully accredited by SACS and FCIS with reported 100% 4-year college attendance.",https://images.unsplash.com/photo-1562774053-701939374585?auto=format&fit=crop&w=900&q=70,true,,,published
alazhar-school,Alazhar School,Tamarac,FL,"7201 W McNab Rd, Tamarac, FL 33321",(954) 722-1555,,PreK–8,,Broward-area PreK–8 Islamic school serving 223 students with integrated Quran and Arabic programs.,,false,,,published
